Bill_Number,Title,Status,Category,Diet_Session,House_Of_Origin,Bill_Type,Diet_URL,Summary,Submitted_Date,Created_At,Updated_At
217-1,所得税法等の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217001.htm,,,2025-07-15T02:25:21.505181,2025-07-15T02:25:21.505184
217-2,地方税法及び地方税法等の一部を改正する法律の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217002.htm,,,2025-07-15T02:25:21.505192,2025-07-15T02:25:21.505193
217-3,地方交付税法等の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217003.htm,,,2025-07-15T02:25:21.505200,2025-07-15T02:25:21.505201
217-4,重要電子計算機に対する不正な行為による被害の防止に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217004.htm,,,2025-07-15T02:25:21.505207,2025-07-15T02:25:21.505208
217-5,重要電子計算機に対する不正な行為による被害の防止に関する法律の施行に伴う関係法律の整備等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217005.htm,,,2025-07-15T02:25:21.505213,2025-07-15T02:25:21.505214
217-6,関税定率法等の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217006.htm,,,2025-07-15T02:25:21.505220,2025-07-15T02:25:21.505221
217-7,国際開発協会への加盟に伴う措置に関する法律及び米州投資公社への加盟に伴う措置に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217007.htm,,,2025-07-15T02:25:21.505226,2025-07-15T02:25:21.505227
217-8,大学等における修学の支援に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217008.htm,,,2025-07-15T02:25:21.505232,2025-07-15T02:25:21.505233
217-9,公立の義務教育諸学校等の教育職員の給与等に関する特別措置法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217009.htm,,,2025-07-15T02:25:21.505239,2025-07-15T02:25:21.505239
217-10,戦没者等の遺族に対する特別弔慰金支給法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217010.htm,,,2025-07-15T02:25:21.505245,2025-07-15T02:25:21.505246
217-11,情報処理の促進に関する法律及び特別会計に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217011.htm,,,2025-07-15T02:25:21.505251,2025-07-15T02:25:21.505252
217-12,道路法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217012.htm,,,2025-07-15T02:25:21.505257,2025-07-15T02:25:21.505258
217-13,港湾法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217013.htm,,,2025-07-15T02:25:21.505263,2025-07-15T02:25:21.505264
217-14,裁判所職員定員法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217014.htm,,,2025-07-15T02:25:21.505272,2025-07-15T02:25:21.505273
217-15,医薬品、医療機器等の品質、有効性及び安全性の確保等に関する法律等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217015.htm,,,2025-07-15T02:25:21.505278,2025-07-15T02:25:21.505278
217-16,防衛省設置法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217016.htm,,,2025-07-15T02:25:21.505287,2025-07-15T02:25:21.505288
217-17,災害対策基本法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217017.htm,,,2025-07-15T02:25:21.505293,2025-07-15T02:25:21.505294
217-18,株式会社地域経済活性化支援機構法の一部を改正する法律案,backlog,economy,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217018.htm,,,2025-07-15T02:25:21.505299,2025-07-15T02:25:21.505300
217-19,電波法及び放送法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217019.htm,,,2025-07-15T02:25:21.505308,2025-07-15T02:25:21.505309
217-20,国会議員の選挙等の執行経費の基準に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217020.htm,,,2025-07-15T02:25:21.505313,2025-07-15T02:25:21.505314
217-21,医療法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217021.htm,,,2025-07-15T02:25:21.505325,2025-07-15T02:25:21.505326
217-22,土地改良法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217022.htm,,,2025-07-15T02:25:21.505331,2025-07-15T02:25:21.505331
217-23,独立行政法人国際協力機構法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217023.htm,,,2025-07-15T02:25:21.505336,2025-07-15T02:25:21.505337
217-24,株式会社日本政策投資銀行法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217024.htm,,,2025-07-15T02:25:21.505345,2025-07-15T02:25:21.505346
217-25,特別会計に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217025.htm,,,2025-07-15T02:25:21.505351,2025-07-15T02:25:21.505351
217-26,漁業災害補償法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217026.htm,,,2025-07-15T02:25:21.505356,2025-07-15T02:25:21.505357
217-27,鳥獣の保護及び管理並びに狩猟の適正化に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217027.htm,,,2025-07-15T02:25:21.505362,2025-07-15T02:25:21.505364
217-28,脱炭素成長型経済構造への円滑な移行の推進に関する法律及び資源の有効な利用の促進に関する法律の一部を改正する法律案,backlog,economy,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217028.htm,,,2025-07-15T02:25:21.505369,2025-07-15T02:25:21.505370
217-29,人工知能関連技術の研究開発及び活用の推進に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217029.htm,,,2025-07-15T02:25:21.505376,2025-07-15T02:25:21.505376
217-30,情報通信技術の進展等に対応するための刑事訴訟法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217030.htm,,,2025-07-15T02:25:21.505385,2025-07-15T02:25:21.505385
217-31,森林経営管理法及び森林法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217031.htm,,,2025-07-15T02:25:21.505390,2025-07-15T02:25:21.505391
217-32,公益通報者保護法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217032.htm,,,2025-07-15T02:25:21.505396,2025-07-15T02:25:21.505397
217-33,円滑な事業再生を図るための事業者の金融機関等に対する債務の調整の手続等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217033.htm,,,2025-07-15T02:25:21.505402,2025-07-15T02:25:21.505403
217-34,老朽化マンション等の管理及び再生の円滑化等を図るための建物の区分所有等に関する法律等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217034.htm,,,2025-07-15T02:25:21.505418,2025-07-15T02:25:21.505418
217-35,地域の自主性及び自立性を高めるための改革の推進を図るための関係法律の整備に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217035.htm,,,2025-07-15T02:25:21.505424,2025-07-15T02:25:21.505425
217-36,日本学術会議法案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217036.htm,,,2025-07-15T02:25:21.505506,2025-07-15T02:25:21.505507
217-37,保険業法の一部を改正する法律案,backlog,social_security,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217037.htm,,,2025-07-15T02:25:21.505518,2025-07-15T02:25:21.505519
217-38,信託業法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217038.htm,,,2025-07-15T02:25:21.505524,2025-07-15T02:25:21.505525
217-39,資金決済に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217039.htm,,,2025-07-15T02:25:21.505530,2025-07-15T02:25:21.505531
217-40,児童福祉法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217040.htm,,,2025-07-15T02:25:21.505536,2025-07-15T02:25:21.505537
217-41,行政手続における特定の個人を識別するための番号の利用等に関する法律及び住民基本台帳法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217041.htm,,,2025-07-15T02:25:21.505542,2025-07-15T02:25:21.505542
217-42,民事裁判情報の活用の促進に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217042.htm,,,2025-07-15T02:25:21.505548,2025-07-15T02:25:21.505549
217-43,譲渡担保契約及び所有権留保契約に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217043.htm,,,2025-07-15T02:25:21.505553,2025-07-15T02:25:21.505554
217-44,譲渡担保契約及び所有権留保契約に関する法律の施行に伴う関係法律の整備等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217044.htm,,,2025-07-15T02:25:21.505559,2025-07-15T02:25:21.505571
217-45,食品等の流通の合理化及び取引の適正化に関する法律及び卸売市場法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217045.htm,,,2025-07-15T02:25:21.505577,2025-07-15T02:25:21.505578
217-46,海洋再生可能エネルギー発電設備の整備に係る海域の利用の促進に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217046.htm,,,2025-07-15T02:25:21.505584,2025-07-15T02:25:21.505584
217-47,風俗営業等の規制及び業務の適正化等に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217047.htm,,,2025-07-15T02:25:21.505590,2025-07-15T02:25:21.505590
217-48,下請代金支払遅延等防止法及び下請中小企業振興法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217048.htm,,,2025-07-15T02:25:21.505595,2025-07-15T02:25:21.505596
217-49,盗難特定金属製物品の処分の防止等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217049.htm,,,2025-07-15T02:25:21.505601,2025-07-15T02:25:21.505602
217-50,労働施策の総合的な推進並びに労働者の雇用の安定及び職業生活の充実等に関する法律等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217050.htm,,,2025-07-15T02:25:21.505607,2025-07-15T02:25:21.505608
217-51,環境影響評価法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217051.htm,,,2025-07-15T02:25:21.505613,2025-07-15T02:25:21.505614
217-52,独立行政法人男女共同参画機構法案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217052.htm,,,2025-07-15T02:25:21.505619,2025-07-15T02:25:21.505620
217-53,独立行政法人男女共同参画機構法の施行に伴う関係法律の整備等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217053.htm,,,2025-07-15T02:25:21.505625,2025-07-15T02:25:21.505625
217-54,電気通信事業法及び日本電信電話株式会社等に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217054.htm,,,2025-07-15T02:25:21.505630,2025-07-15T02:25:21.505631
217-55,航空法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217055.htm,,,2025-07-15T02:25:21.505636,2025-07-15T02:25:21.505637
217-56,日本国の自衛隊と我が国以外の締約国の軍隊との間における相互のアクセス及び協力の円滑化に関する日本国と我が国以外の締約国との間の協定の実施に関する法律案,backlog,foreign_affairs,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217056.htm,,,2025-07-15T02:25:21.505645,2025-07-15T02:25:21.505646
217-57,労働安全衛生法及び作業環境測定法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217057.htm,,,2025-07-15T02:25:21.505652,2025-07-15T02:25:21.505653
217-58,船員法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217058.htm,,,2025-07-15T02:25:21.505658,2025-07-15T02:25:21.505659
217-59,社会経済の変化を踏まえた年金制度の機能強化のための国民年金法等の一部を改正する等の法律案,backlog,social_security,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217080217059.htm,,,2025-07-15T02:25:21.505664,2025-07-15T02:25:21.505665
217-1,医療保険の被保険者証等の交付等の特例に関する法律案,backlog,social_security,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217001.htm,,,2025-07-15T02:25:21.505670,2025-07-15T02:25:21.505671
217-2,訪問介護事業者に対する緊急の支援に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217002.htm,,,2025-07-15T02:25:21.505676,2025-07-15T02:25:21.505677
217-3,介護・障害福祉従事者の人材確保に関する特別措置法案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217003.htm,,,2025-07-15T02:25:21.505682,2025-07-15T02:25:21.505683
217-4,政治資金規正法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217004.htm,,,2025-07-15T02:25:21.505688,2025-07-15T02:25:21.505689
217-5,政治資金規正法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217005.htm,,,2025-07-15T02:25:21.505694,2025-07-15T02:25:21.505695
217-6,高等学校等就学支援金の支給に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217006.htm,,,2025-07-15T02:25:21.505700,2025-07-15T02:25:21.505701
217-7,義務教育諸学校等の施設費の国庫負担等に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217007.htm,,,2025-07-15T02:25:21.505706,2025-07-15T02:25:21.505707
217-8,健康保険法等の一部を改正する法律案,backlog,social_security,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217008.htm,,,2025-07-15T02:25:21.505712,2025-07-15T02:25:21.505712
217-9,公職選挙法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217009.htm,,,2025-07-15T02:25:21.505718,2025-07-15T02:25:21.505718
217-10,公職選挙法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217010.htm,,,2025-07-15T02:25:21.505723,2025-07-15T02:25:21.505724
217-11,中小企業正規労働者雇入臨時助成金の支給に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217011.htm,,,2025-07-15T02:25:21.505744,2025-07-15T02:25:21.505745
217-12,軽油引取税の税率の特例の廃止に関する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217012.htm,,,2025-07-15T02:25:21.505751,2025-07-15T02:25:21.505752
217-13,揮発油税及び地方揮発油税の税率の特例の廃止に関する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217013.htm,,,2025-07-15T02:25:21.505757,2025-07-15T02:25:21.505758
217-14,政治資金規正法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217014.htm,,,2025-07-15T02:25:21.505763,2025-07-15T02:25:21.505764
217-15,地震防災対策強化地域における地震対策緊急整備事業に係る国の財政上の特別措置に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217015.htm,,,2025-07-15T02:25:21.505769,2025-07-15T02:25:21.505769
217-16,半島振興法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217016.htm,,,2025-07-15T02:25:21.505775,2025-07-15T02:25:21.505776
217-17,地域人口の急減に対処するための特定地域づくり事業の推進に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217017.htm,,,2025-07-15T02:25:21.505783,2025-07-15T02:25:21.505784
217-18,議院に出頭する証人等の旅費及び日当に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217018.htm,,,2025-07-15T02:25:21.505789,2025-07-15T02:25:21.505790
217-19,棚田地域振興法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217019.htm,,,2025-07-15T02:25:21.505795,2025-07-15T02:25:21.505796
217-20,山村振興法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217020.htm,,,2025-07-15T02:25:21.505801,2025-07-15T02:25:21.505802
217-21,政治資金規正法及び租税特別措置法の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217021.htm,,,2025-07-15T02:25:21.505807,2025-07-15T02:25:21.505807
217-22,子ども・子育て支援法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217022.htm,,,2025-07-15T02:25:21.505812,2025-07-15T02:25:21.505813
217-23,若者の就労所得に係る所得税の負担を軽減するための所得控除の拡充に関し講ずべき措置に関する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217023.htm,,,2025-07-15T02:25:21.505818,2025-07-15T02:25:21.505819
217-24,ライドシェア事業に係る制度の導入に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217024.htm,,,2025-07-15T02:25:21.505824,2025-07-15T02:25:21.505825
217-25,外国為替資金特別会計の在り方の見直しに関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217025.htm,,,2025-07-15T02:25:21.505830,2025-07-15T02:25:21.505831
217-26,租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217026.htm,,,2025-07-15T02:25:21.505836,2025-07-15T02:25:21.505839
217-27,地方税法の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217027.htm,,,2025-07-15T02:25:21.505844,2025-07-15T02:25:21.505845
217-28,国会法及び議院における証人の宣誓及び証言等に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217028.htm,,,2025-07-15T02:25:21.505850,2025-07-15T02:25:21.505851
217-29,民法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217029.htm,,,2025-07-15T02:25:21.505856,2025-07-15T02:25:21.505857
217-30,婚姻前の氏の通称使用に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217030.htm,,,2025-07-15T02:25:21.505862,2025-07-15T02:25:21.505863
217-31,自動車盗難対策等の推進に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217031.htm,,,2025-07-15T02:25:21.505882,2025-07-15T02:25:21.505883
217-32,組織的な犯罪の処罰及び犯罪収益の規制等に関する法律及び刑事訴訟法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217032.htm,,,2025-07-15T02:25:21.505916,2025-07-15T02:25:21.505923
217-33,貨物自動車運送事業法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217033.htm,,,2025-07-15T02:25:21.505937,2025-07-15T02:25:21.505938
217-34,貨物自動車運送事業の適正化のための体制の整備等の推進に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217034.htm,,,2025-07-15T02:25:21.505945,2025-07-15T02:25:21.505946
217-35,民法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217035.htm,,,2025-07-15T02:25:21.505952,2025-07-15T02:25:21.505953
217-36,行政書士法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217036.htm,,,2025-07-15T02:25:21.505959,2025-07-15T02:25:21.505960
217-37,ギャンブル等依存症対策基本法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217037.htm,,,2025-07-15T02:25:21.505966,2025-07-15T02:25:21.505967
217-38,国有林野事業に従事する職員の労働関係を円滑に調整するための行政執行法人の労働関係に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217038.htm,,,2025-07-15T02:25:21.505972,2025-07-15T02:25:21.505973
217-39,国有林野事業に従事する職員の給与等に関する特例法案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217039.htm,,,2025-07-15T02:25:21.505979,2025-07-15T02:25:21.505980
217-40,農業用植物の優良な品種を確保するための公的新品種育成の促進等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217040.htm,,,2025-07-15T02:25:21.505986,2025-07-15T02:25:21.505987
217-41,地域在来品種等の種苗の保存及び利用等の促進に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217041.htm,,,2025-07-15T02:25:21.505993,2025-07-15T02:25:21.505994
217-42,食料供給困難事態対策法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217042.htm,,,2025-07-15T02:25:21.505999,2025-07-15T02:25:21.506000
217-43,国家公務員法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217043.htm,,,2025-07-15T02:25:21.506006,2025-07-15T02:25:21.506007
217-44,国家公務員の労働関係に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217044.htm,,,2025-07-15T02:25:21.506012,2025-07-15T02:25:21.506013
217-45,公務員庁設置法案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217045.htm,,,2025-07-15T02:25:21.506019,2025-07-15T02:25:21.506020
217-46,地方公務員法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217046.htm,,,2025-07-15T02:25:21.506067,2025-07-15T02:25:21.506069
217-47,地方公務員の労働関係に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217047.htm,,,2025-07-15T02:25:21.506075,2025-07-15T02:25:21.506076
217-48,スポーツ基本法及びスポーツにおけるドーピングの防止活動の推進に関する法律の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217048.htm,,,2025-07-15T02:25:21.506082,2025-07-15T02:25:21.506083
217-49,社会保険労務士法の一部を改正する法律案,backlog,social_security,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217049.htm,,,2025-07-15T02:25:21.506089,2025-07-15T02:25:21.506090
217-50,公職選挙法及び地方自治法の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217050.htm,,,2025-07-15T02:25:21.506095,2025-07-15T02:25:21.506096
217-51,衆議院の解散に係る手続等に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217051.htm,,,2025-07-15T02:25:21.506102,2025-07-15T02:25:21.506103
217-52,租税特別措置の適用状況の透明化等に関する法律及び地方税法の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217052.htm,,,2025-07-15T02:25:21.506108,2025-07-15T02:25:21.506109
217-53,租税特別措置法及び東日本大震災の被災者等に係る国税関係法律の臨時特例に関する法律の一部を改正する法律案,backlog,taxation,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217053.htm,,,2025-07-15T02:25:21.506115,2025-07-15T02:25:21.506116
217-54,自動車産業における脱炭素化の推進に関する法律案,backlog,economy,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217054.htm,,,2025-07-15T02:25:21.506122,2025-07-15T02:25:21.506123
217-55,政治団体における複式簿記の導入に関する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217055.htm,,,2025-07-15T02:25:21.506128,2025-07-15T02:25:21.506129
217-56,児童扶養手当法の一部を改正する等の法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217056.htm,,,2025-07-15T02:25:21.506134,2025-07-15T02:25:21.506135
217-57,保育等従業者の人材確保のための処遇の改善等に関する特別措置法案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217057.htm,,,2025-07-15T02:25:21.506141,2025-07-15T02:25:21.506142
217-58,郵政民営化法等の一部を改正する法律案,backlog,other,217,参議院,議員,https://www.sangiin.go.jp/meisai/m217090217058.htm,,,2025-07-15T02:25:21.506148,2025-07-15T02:25:21.506149
